Mf,Scaled Distance,Overpressure
0.0742,0.05614988,0.04148064
0.0742,0.0578459,0.04148628
0.0742,0.05959316,0.04149191
0.0742,0.06139318,0.04149755
0.0742,0.06324758,0.04150318
0.0742,0.06515799,0.04150882
0.0742,0.06712612,0.04151447
0.0742,0.06915367,0.04152011
0.0742,0.07124247,0.04152574
0.0742,0.07339437,0.04153138
0.0742,0.07561126,0.04153703
0.0742,0.07789513,0.04154268
0.0742,0.08024797,0.04154831
0.0742,0.08267187,0.04155396
0.0742,0.08516902,0.0415596
0.0742,0.08774156,0.04156525
0.0742,0.09039183,0.04157089
0.0742,0.09312213,0.04157654
0.0742,0.0959349,0.04158219
0.0742,0.09883265,0.04158784
0.0742,0.1018179,0.04159348
0.0742,0.1048934,0.04159914
0.0742,0.1080617,0.04160479
0.0742,0.1113257,0.04161045
0.0742,0.1146883,0.0416161
0.0742,0.1181525,0.04162175
0.0742,0.1217214,0.0416274
0.0742,0.125398,0.04163306
0.0742,0.1291857,0.04163872
0.0742,0.1330878,0.04164437
0.0742,0.1371077,0.04165003
0.0742,0.1412491,0.04165569
0.0742,0.1455103,0.04195429
0.0742,0.1499109,0.041667
0.0742,0.154439,0.04167267
0.0742,0.1591039,0.04167833
0.0742,0.1639096,0.04168399
0.0742,0.1688606,0.04168965
0.0742,0.173961,0.04169532
0.0742,0.1792156,0.04170098
0.0742,0.1846288,0.04170665
0.0742,0.1901987,0.04200562
0.0742,0.1959508,0.04171798
0.0742,0.2018623,0.04201704
0.0742,0.2079671,0.04172932
0.0742,0.2142488,0.04173498
0.0742,0.2207202,0.04174065
0.0742,0.2273872,0.04174632
0.0742,0.234247,0.04204559
0.0742,0.2413312,0.04175766
0.0742,0.2486207,0.04176334
0.0742,0.2561303,0.04176901
0.0742,0.2638668,0.04177469
0.0742,0.271837,0.04178036
0.0742,0.2800479,0.04178604
0.0742,0.2885068,0.04179171
0.0742,0.2972105,0.0420913
0.0742,0.3061989,0.04180307
0.0742,0.3154477,0.04180875
0.0742,0.3249759,0.04181443
0.0742,0.3347919,0.04182011
0.0742,0.3449043,0.04182579
0.0742,0.3553735,0.04067529
0.0742,0.3661605,0.03955642
0.0742,0.3772749,0.03846834
0.0742,0.3887266,0.03741018
0.0742,0.400526,0.03638114
0.0742,0.4126835,0.0353804
0.0742,0.42521,0.03440718
0.0742,0.4381168,0.03346074
0.0742,0.4514153,0.03254034
0.0742,0.4651175,0.03164524
0.0742,0.4792529,0.03055988
0.0742,0.4938001,0.02971927
0.0742,0.5087888,0.02890178
0.0742,0.5242326,0.02810677
0.0742,0.540145,0.02733364
0.0742,0.5565405,0.02658176
0.0742,0.5734337,0.02585058
0.0742,0.5908396,0.02513951
0.0742,0.6087738,0.02444799
0.0742,0.6272751,0.02360948
0.0742,0.6463153,0.02296005
0.0742,0.6659095,0.02248549
0.0742,0.6861472,0.02171429
0.0742,0.7069489,0.02126548
0.0742,0.7284337,0.02053612
0.0742,0.7505175,0.02011167
0.0742,0.7733265,0.01942188
0.0742,0.7967999,0.01888764
0.0742,0.8209859,0.0183681
0.0742,0.845906,0.01786284
0.0742,0.8715824,0.01737149
0.0742,0.8980708,0.01677569
0.0742,0.9253306,0.01631424
0.0742,0.9533836,0.01597704
0.0742,0.9823579,0.01542907
0.0742,1.012176,0.01500466
0.0742,1.0429,0.01459192
0.0742,1.074556,0.01419054
0.0742,1.107173,0.0138002
0.0742,1.14078,0.0134206
0.0742,1.175407,0.01305144
0.0742,1.211085,0.01269243
0.0742,1.247891,0.01225711
0.0742,1.285723,0.01200376
0.0742,1.324797,0.01159206
0.0742,1.36501,0.0112732
0.0742,1.406443,0.0109631
0.0742,1.449134,0.01066154
0.0742,1.493175,0.01029588
0.0742,1.538499,0.01001267
0.0742,1.585198,0.009737247
0.0742,1.633315,0.009469403
0.0742,1.682892,0.009208926
0.0742,1.734037,0.008893081
0.0742,1.786607,0.008709271
0.0742,1.840838,0.008469704
0.0742,1.896714,0.00823673
0.0742,1.954358,0.007954229
0.0742,2.01368,0.00773543
0.0742,2.074728,0.007575547
0.0742,2.137704,0.007367165
0.0742,2.202671,0.007114488
0.0742,2.26953,0.006918789
0.0742,2.338419,0.006728472
0.0742,2.4094,0.006543394
0.0742,2.482445,0.006408149
0.0742,2.557796,0.006231879
0.0742,2.63534,0.006103074
0.0742,2.715431,0.005893752
0.0742,2.797754,0.005771935
0.0742,2.882781,0.00557397
0.0742,2.970284,0.005420646
0.0742,3.060443,0.00527154
0.0742,3.153226,0.005162583
0.0742,3.248939,0.005020577
0.0742,3.347557,0.004882475
0.0742,3.449168,0.004748172
0.0742,3.553863,0.004617563
0.0742,3.661869,0.004459191
0.0742,3.773157,0.004306251
0.0742,3.887687,0.004187798
0.0742,4.005837,0.004044168
0.0742,4.12743,0.003932924
0.0742,4.252867,0.003798034
0.0742,4.382116,0.00366777
0.0742,4.515293,0.003541974
0.0742,4.652517,0.003420492
0.0742,4.793911,0.003303178
0.0742,4.939425,0.003212317
0.0742,5.08954,0.003102142
0.0742,5.244405,0.002974827
0.0742,5.403788,0.002872798
0.0742,5.568015,0.002774267
0.0742,5.737232,0.002679117
0.0742,5.911379,0.002605422
0.0742,6.091032,0.002516062
0.0742,6.276145,0.002429767
0.0742,6.466883,0.002346431
0.0742,6.663418,0.002265954
0.0742,6.865926,0.002188238
0.0742,7.074588,0.002113187
0.0742,7.289592,0.002040709
0.0742,7.511131,0.001970717
0.0742,7.739401,0.001903126
0.0742,7.974323,0.001850776
0.0742,8.216965,0.00177482
0.0742,8.466383,0.001726
0.0742,8.723684,0.001666802
0.0742,8.988807,0.001609634
0.0742,9.261984,0.001554427
0.0742,9.543467,0.001501114
0.0742,9.833146,0.001459823
0.125,0.02488419,0.07239178
0.125,0.0256349,0.07291073
0.125,0.02640825,0.07343338
0.125,0.02720495,0.07395979
0.125,0.02802567,0.07448997
0.125,0.02887115,0.07502395
0.125,0.02974213,0.07556176
0.125,0.0306394,0.07610343
0.125,0.03156373,0.07664897
0.125,0.03251477,0.07774127
0.125,0.03349569,0.07829855
0.125,0.03450619,0.07885984
0.125,0.03554718,0.07942516
0.125,0.03661957,0.0799945
0.125,0.03772431,0.08056795
0.125,0.03886098,0.08171608
0.125,0.04003479,0.08172719
0.125,0.04124257,0.08231306
0.125,0.0424883,0.08232424
0.125,0.0437701,0.08291437
0.125,0.04509219,0.08292564
0.125,0.04645253,0.0835201
0.125,0.04785564,0.08353143
0.125,0.04929937,0.08413024
0.125,0.05078846,0.08414167
0.125,0.05232065,0.08474483
0.125,0.05390102,0.08475634
0.125,0.05552711,0.08536393
0.125,0.05720226,0.08597585
0.125,0.05892794,0.08659218
0.125,0.06070568,0.08721292
0.125,0.06253707,0.08783809
0.125,0.0644237,0.08846777
0.125,0.06636723,0.08910196
0.125,0.0683694,0.08974067
0.125,0.07043453,0.08975287
0.125,0.07255941,0.09039627
0.125,0.07474838,0.09104426
0.125,0.07700617,0.09105664
0.125,0.0793293,0.09170938
0.125,0.08172254,0.09236678
0.125,0.08419097,0.09237934
0.125,0.08673397,0.09239189
0.125,0.08935381,0.09240445
0.125,0.09205276,0.09241699
0.125,0.09483667,0.09178415
0.125,0.09770122,0.09179662
0.125,0.1006523,0.0918091
0.125,0.1036926,0.09182155
0.125,0.1068246,0.09183403
0.125,0.1100513,0.09184651
0.125,0.1133754,0.091859
0.125,0.1168,0.09187146
0.125,0.1203279,0.09188394
0.125,0.1239625,0.09189643
0.125,0.1277068,0.09190892
0.125,0.1315642,0.09192139
0.125,0.1355381,0.09193388
0.125,0.1396321,0.09194638
0.125,0.1438497,0.09195887
0.125,0.1481947,0.09197135
0.125,0.152671,0.09198385
0.125,0.1572825,0.09199635
0.125,0.1620332,0.09200885
0.125,0.1669275,0.09202134
0.125,0.1719696,0.09203384
0.125,0.177164,0.09204635
0.125,0.1825152,0.09205886
0.125,0.1880282,0.09207138
0.125,0.1937076,0.09208386
0.125,0.1995586,0.09209638
0.125,0.2055863,0.0921089
0.125,0.2117961,0.09212141
0.125,0.2181935,0.09213391
0.125,0.2247841,0.09214643
0.125,0.2315737,0.09215896
0.125,0.2385685,0.09217148
0.125,0.2457745,0.09218398
0.125,0.2531982,0.09219652
0.125,0.2608461,0.09220905
0.125,0.2687251,0.09222158
0.125,0.2768419,0.09223409
0.125,0.285204,0.09224663
0.125,0.2938187,0.09225916
0.125,0.3026936,0.0922717
0.125,0.3118365,0.09228422
0.125,0.3212557,0.09229676
0.125,0.3309592,0.0923093
0.125,0.3409559,0.09232185
0.125,0.3512673,0.09168964
0.125,0.3618774,0.0917021
0.125,0.3728215,0.09107415
0.125,0.3840965,0.09045051
0.125,0.3957125,0.08983114
0.125,0.4077092,0.08797443
0.125,0.4200696,0.08615609
0.125,0.4328047,0.08437534
0.125,0.4459259,0.0826314
0.125,0.4594449,0.08092351
0.125,0.4733738,0.07925092
0.125,0.4877073,0.07815865
0.125,0.5025293,0.07547798
0.125,0.517783,0.07340179
0.125,0.5335189,0.07088428
0.125,0.5497331,0.06845313
0.125,0.56644,0.06610534
0.125,0.5836337,0.06428697
0.125,0.6013492,0.06251863
0.125,0.6196025,0.06079892
0.125,0.6384099,0.05912651
0.125,0.657788,0.05750011
0.125,0.6777544,0.05591846
0.125,0.6983269,0.05438029
0.125,0.7195238,0.05288444
0.125,0.7413909,0.05107063
0.125,0.7638674,0.05001506
0.125,0.7870538,0.04863929
0.125,0.8109438,0.04730136
0.125,0.8355591,0.04600024
0.125,0.8609216,0.0447349
0.125,0.8870859,0.0432006
0.125,0.9140123,0.04201228
0.125,0.9417561,0.04085664
0.125,0.9703071,0.04001218
0.125,0.9997957,0.03863986
0.125,1.030106,0.03784122
0.125,1.061412,0.03654335
0.125,1.09363,0.03553814
0.125,1.126826,0.0345606
0.125,1.16103,0.03360993
0.125,1.196271,0.03268542
0.125,1.232627,0.03156438
0.125,1.270042,0.03069614
0.125,1.308593,0.02985178
0.125,1.348314,0.02903064
0.125,1.38929,0.02803496
0.125,1.431461,0.0272638
0.125,1.474911,0.02651385
0.125,1.51968,0.02578453
0.125,1.565865,0.02490018
0.125,1.613395,0.02421525
0.125,1.662368,0.02354915
0.125,1.712827,0.02290138
0.125,1.764818,0.02227143
