Timestamp,VOC,RH,T,P,PM1,PM2.5,PM10
1747675184.7566438,,,,,1,2,3
1747675185.2598252,,,,,1,2,3
1747675185.7650926,,,,,1,2,3
1747675186.2671158,,,,,1,2,3
1747675186.8220923,0.237,35,21,93.333,,,
1747675187.7891173,,,,,1,2,3
1747675188.2909129,,,,,1,2,3
1747675188.8002048,,,,,1,2,3
1747675189.3029842,,,,,1,2,3
1747675189.8039763,,,,,1,2,3
1747675190.312913,,,,,1,2,3
1747675191.3179379,,,,,1,2,3
1747675191.8229077,,,,,1,2,3
1747675192.3331864,,,,,1,2,3
1747675192.838922,,,,,1,2,3
1747675193.8539765,,,,,1,2,3
1747675194.8569424,,,,,1,2,3
1747675196.886062,,,,,1,2,3
1747675197.3940022,,,,,1,2,3
1747675197.9010296,0.236,35,21,93.329,,,
1747675198.4080827,,,,,1,2,3
1747675198.9240625,0.235,35,21,93.328,,,
1747675199.4191866,,,,,1,2,3
1747675199.9290354,,,,,1,2,3
1747675200.4290426,,,,,1,2,3
1747675200.9350948,,,,,1,2,3
1747675201.9420981,,,,,1,2,3
1747675202.4491162,,,,,1,2,3
1747675202.959074,0.236,35,21,93.329,,,
1747675203.9631486,,,,,1,2,3
1747675205.9821339,,,,,1,2,3
1747675206.4861183,,,,,1,2,3
1747675206.993151,,,,,1,2,3
1747675208.5331156,0.233,35,21,93.331,,,
1747675210.5261123,,,,,1,2,3
1747675211.0352473,,,,,1,2,3
1747675212.04521,,,,,1,2,3
1747675213.5722904,0.232,35,21,93.326,,,
1747675214.0643284,,,,,1,2,3
1747675214.5753162,0.237,35,21,93.327,,,
1747675217.6012704,0.233,35,21,93.333,,,
1747675218.6072536,,,,,1,2,3
1747675219.6203215,0.233,35,21,93.333,,,
1747675220.1163044,,,,,1,2,3
1747675220.6203098,,,,,1,2,3
1747675221.1221452,,,,,1,2,3
1747675221.6313221,0.233,35,21,93.333,,,
1747675222.6634896,0.235,35,21,93.325,,,
1747675223.1373603,0.235,35,21,93.325,,,
1747675223.638481,,,,,1,2,3
1747675224.1453683,,,,,1,2,3
1747675224.6463592,,,,,1,2,3
1747675225.1533248,,,,,1,2,3
1747675225.6754496,0.233,35,21,93.329,,,
1747675227.1904483,0.233,35,21,93.329,,,
1747675227.676331,,,,,1,2,3
1747675228.1834383,0.234,35,21,93.337,,,
1747675228.7124352,0.234,35,21,93.337,,,
1747675229.1884608,,,,,1,2,3
1747675230.192381,0.234,35,21,93.337,,,
1747675230.700465,,,,,1,2,3
1747675231.2144153,0.232,35,21,93.33,,,
1747675232.711286,,,,,1,2,3
1747675233.2134595,,,,,1,2,3
1747675234.2334964,,,,,1,2,3
1747675234.7366467,,,,,1,2,3
1747675235.242515,,,,,1,2,3
1747675235.7474132,,,,,1,2,3
1747675236.2584631,0.233,35,21,93.329,,,
1747675237.2585523,,,,,1,2,3
1747675237.7684984,0.233,35,21,93.329,,,
1747675238.2645128,,,,,1,2,3
1747675238.7685428,,,,,1,2,3
1747675239.2746558,,,,,1,2,3
1747675239.826675,0.235,35,21,93.337,,,
1747675240.2833605,,,,,1,2,3
1747675240.7925582,,,,,1,2,3
1747675241.29547,,,,,1,2,3
1747675241.7984626,,,,,1,2,3
1747675243.817621,,,,,1,2,3
1747675244.8324986,,,,,1,2,3
1747675245.3374348,,,,,1,2,3
1747675245.8426137,,,,,1,2,3
1747675246.85165,,,,,1,2,3
1747675248.3696458,,,,,1,2,3
1747675248.8796246,,,,,1,2,3
1747675249.384505,0.235,35,21,93.334,,,
1747675249.8885934,,,,,1,2,3
1747675250.4367263,0.235,35,21,93.334,,,
1747675251.9066753,,,,,1,2,3
1747675252.4126873,,,,,1,2,3
1747675252.923736,0.233,35,21,93.328,,,
1747675253.422754,,,,,1,2,3
1747675253.9256446,,,,,1,2,3
1747675254.4277112,,,,,1,2,3
1747675255.4386845,,,,,1,2,3
1747675255.9395173,,,,,1,2,3
1747675256.9517822,,,,,1,2,3
1747675257.4607837,0.234,35,21,93.329,,,
1747675257.961939,,,,,1,2,3
1747675259.980861,,,,,1,2,3
1747675260.4869587,,,,,1,2,3
1747675260.999811,0.235,35,21,93.328,,,
1747675262.0568855,0.236,35,21,93.326,,,
1747675262.495636,,,,,1,2,3
1747675263.004923,,,,,1,2,3
1747675263.5087678,,,,,1,2,3
1747675264.0200574,,,,,1,2,3
1747675265.534878,0.238,35,21,93.331,,,
1747675266.5399275,0.238,35,21,93.331,,,
1747675267.0447772,,,,,1,2,3
1747675267.5521357,0.231,35,21,93.335,,,
1747675268.0480337,,,,,1,2,3
1747675269.0529077,,,,,1,2,3
1747675269.55678,,,,,1,2,3
1747675270.057636,,,,,1,2,3
1747675270.5608597,,,,,1,2,3
1747675271.0641024,,,,,1,2,3
1747675271.5709856,,,,,1,2,3
1747675272.5879207,0.235,35,21,93.326,,,
1747675274.0898936,,,,,1,2,3
1747675274.5938852,,,,,1,2,3
1747675275.601994,,,,,1,2,3
1747675276.1059582,,,,,1,2,3
1747675276.6178854,0.235,35,21,93.326,,,
1747675277.6289442,,,,,1,2,3
1747675278.1350117,0.237,35,21,93.328,,,
1747675278.6359558,,,,,1,2,3
1747675281.1640112,,,,,1,2,3
1747675282.2011468,0.236,35,21,93.326,,,
1747675282.684954,,,,,1,2,3
1747675283.1891289,0.235,35,21,93.326,,,
1747675283.6890864,,,,,1,2,3
1747675284.1990635,0.235,35,21,93.326,,,
1747675284.6980793,,,,,1,2,3
1747675285.7020319,,,,,1,2,3
1747675286.2080672,,,,,1,2,3
1747675286.7131326,,,,,1,2,3
1747675287.22312,0.237,35,21,93.327,,,
1747675288.2240922,,,,,1,2,3
1747675288.7312162,,,,,1,2,3
1747675289.2330604,,,,,1,2,3
1747675289.755133,0.233,35,21,93.334,,,
1747675290.2420146,,,,,1,2,3
1747675291.2590716,,,,,1,2,3
1747675292.7743196,,,,,1,2,3
1747675293.2751565,,,,,1,2,3
1747675293.7832148,,,,,1,2,3
1747675294.2942448,0.237,35,21,93.334,,,
1747675295.2992067,,,,,1,2,3
1747675295.8041604,,,,,1,2,3
1747675296.311128,,,,,1,2,3
1747675297.321078,,,,,1,2,3
1747675299.336124,,,,,1,2,3
1747675299.8412874,,,,,1,2,3
1747675300.8490424,,,,,1,2,3
1747675301.3532472,,,,,1,2,3
1747675301.8553329,,,,,1,2,3
1747675302.3895144,0.24,35,21,93.329,,,
1747675302.869062,,,,,1,2,3
1747675303.8781362,,,,,1,2,3
1747675304.3822553,,,,,1,2,3
1747675305.9004176,,,,,1,2,3
1747675306.4035046,,,,,1,2,3
1747675307.4111536,,,,,1,2,3
1747675307.912222,,,,,1,2,3
1747675308.4153645,,,,,1,2,3
1747675308.9163458,,,,,1,2,3
1747675309.4183319,,,,,1,2,3
1747675309.9234521,,,,,1,2,3
1747675310.4315026,,,,,1,2,3
1747675310.9423268,,,,,1,2,3
1747675311.4444973,,,,,1,2,3
1747675314.472251,,,,,1,2,3
1747675315.0027285,0.237,35,21,93.332,,,
1747675315.4824872,,,,,1,2,3
1747675315.9875154,,,,,1,2,3
1747675316.9955149,,,,,1,2,3
1747675317.4984682,,,,,1,2,3
1747675318.5014951,,,,,1,2,3
1747675319.0104141,,,,,1,2,3
1747675320.0193665,,,,,1,2,3
1747675320.5364065,0.237,35,21,93.332,,,
1747675321.0314987,,,,,1,2,3
1747675321.5514815,0.237,35,21,93.332,,,
1747675322.042552,,,,,1,2,3
1747675322.548567,,,,,1,2,3
1747675324.5675552,,,,,1,2,3
1747675325.590675,0.237,35,21,93.327,,,
1747675326.0895054,,,,,1,2,3
1747675327.0964103,,,,,1,2,3
1747675328.1066122,,,,,1,2,3
1747675328.617577,0.238,35,21,93.337,,,
1747675330.1264942,,,,,1,2,3
1747675330.6286428,,,,,1,2,3
1747675331.6307087,0.237,35,21,93.327,,,
1747675332.1367433,0.237,35,21,93.327,,,
1747675333.1465976,,,,,1,2,3
1747675333.646803,,,,,1,2,3
1747675336.1806362,,,,,1,2,3
1747675336.6818166,,,,,1,2,3
1747675337.2007174,0.237,35,21,93.319,,,
1747675337.7087774,0.237,35,21,93.319,,,
1747675338.2027159,,,,,1,2,3
1747675338.7056372,,,,,1,2,4
1747675339.2097983,,,,,1,2,4
1747675339.7357476,0.237,35,21,93.327,,,
1747675341.2300036,,,,,1,2,3
1747675341.7386036,,,,,1,2,3
1747675343.2608366,0.239,35,21,93.337,,,
1747675343.7908337,0.233,35,21,93.329,,,
1747675344.2718406,0.233,35,21,93.329,,,
1747675344.777817,,,,,1,2,3
1747675345.7797015,,,,,1,2,3
1747675346.7920368,,,,,1,2,3
1747675347.7958329,0.235,35,21,93.333,,,
1747675348.3007782,,,,,1,2,3
1747675348.8080747,,,,,1,2,3
1747675349.3147044,,,,,1,2,3
1747675350.3187265,,,,,1,2,3
1747675350.8237784,,,,,1,2,3
1747675351.331608,,,,,1,2,3
1747675351.8367343,0.237,35,21,93.327,,,
1747675352.342781,,,,,1,2,3
1747675352.8466618,,,,,1,2,3
1747675353.3491123,,,,,1,2,3
1747675353.8549006,,,,,1,2,3
1747675354.8679285,0.236,35,21,93.327,,,
1747675355.3678677,0.236,35,21,93.327,,,
1747675355.8759196,,,,,1,2,3
1747675356.380893,,,,,1,2,3
1747675356.887891,,,,,1,2,3
1747675358.4049213,,,,,1,2,3
1747675358.9119518,,,,,1,2,3
1747675359.421928,,,,,1,2,3
1747675360.0272624,0.234,35,21,93.332,,,
1747675360.9289925,,,,,1,2,3
1747675361.4319513,,,,,1,2,3
1747675361.9338615,,,,,1,2,3
1747675362.4369948,,,,,1,2,3
1747675362.9357939,,,,,1,2,3
1747675363.94314,,,,,1,2,3
1747675364.4448922,,,,,1,2,3
1747675364.9680605,0.239,35,21,93.335,,,
1747675366.9719949,,,,,1,2,3
1747675367.49504,0.237,35,21,93.333,,,
1747675367.988125,,,,,1,2,3
1747675368.496043,0.237,35,21,93.333,,,
1747675369.4930217,,,,,1,2,3
1747675370.016121,0.239,35,21,93.325,,,
1747675371.0020556,,,,,1,2,3
1747675371.5141203,0.239,35,21,93.325,,,
1747675372.0120926,,,,,1,2,3
1747675372.5219088,,,,,1,2,3
1747675373.031214,,,,,1,2,3
1747675373.5910711,0.238,35,21,93.332,,,
1747675374.0432885,0.238,35,21,93.332,,,
1747675374.5492027,,,,,1,2,3
1747675375.0612216,0.238,35,21,93.331,,,
1747675376.063147,,,,,1,2,3
1747675376.563196,,,,,1,2,3
1747675377.0672193,,,,,1,2,3
1747675377.5931287,0.238,35,21,93.331,,,
1747675378.1022851,0.237,35,21,93.331,,,
1747675379.0802634,,,,,1,2,3
1747675379.5883005,,,,,1,2,3
1747675380.589075,,,,,1,2,3
1747675381.0920312,,,,,1,2,3
1747675381.600286,,,,,1,2,3
1747675382.614228,,,,,1,2,3
1747675383.1128983,,,,,1,2,3
1747675383.6231062,,,,,1,2,3
1747675385.6302826,,,,,1,2,3
1747675387.1361103,,,,,1,2,3
1747675387.6453326,,,,,1,2,3
1747675388.1554494,,,,,1,2,3
1747675388.6594553,,,,,1,2,3
1747675389.159338,,,,,1,2,3
1747675391.6762896,,,,,1,2,3
1747675392.682327,,,,,1,2,3
1747675393.6901178,,,,,1,2,3
1747675394.195142,,,,,1,2,3
1747675394.6975927,,,,,1,2,3
1747675395.1975641,,,,,1,2,3
1747675395.7305079,0.238,35,21,93.333,,,
1747675396.743385,0.238,35,21,93.327,,,
1747675397.7311602,,,,,1,2,3
1747675398.2524889,0.238,35,21,93.327,,,
1747675398.7394795,,,,,1,2,3
1747675399.7594898,,,,,1,2,3
1747675401.2976747,0.24,35,21,93.327,,,
1747675401.780477,,,,,1,2,3
1747675403.7985144,,,,,1,2,3
1747675406.8336575,,,,,1,2,3
1747675407.3405342,,,,,1,2,3
1747675407.8465366,,,,,1,2,3
1747675408.8655274,,,,,1,2,3
1747675409.3685296,,,,,1,2,3
1747675410.377662,,,,,1,2,3
1747675410.8806643,,,,,1,2,3
1747675411.3815718,,,,,1,2,3
1747675411.8834822,,,,,1,2,3
1747675412.392548,0.242,35,21,93.327,,,
1747675413.3997426,,,,,1,2,3
1747675413.9075804,,,,,1,2,3
1747675414.4104373,,,,,1,2,3
1747675414.9166448,,,,,1,2,3
1747675415.9266293,,,,,1,2,3
1747675416.4407098,0.24,35,21,93.33,,,
1747675416.9436703,,,,,1,2,3
1747675417.4536366,,,,,1,2,3
1747675418.4706433,,,,,1,2,3
1747675418.9705527,,,,,1,2,3
1747675419.980703,,,,,1,2,3
1747675420.4826694,,,,,1,2,3
1747675421.4935768,,,,,1,2,3
1747675422.002723,,,,,1,2,3
1747675422.5087411,,,,,1,2,3
1747675423.5157068,,,,,1,2,3
1747675424.0196254,0.238,35,21,93.326,,,
1747675424.5259714,,,,,1,2,3
1747675425.0328739,,,,,1,2,3
1747675425.535754,,,,,1,2,3
1747675426.0367706,,,,,1,2,3
1747675426.5389705,,,,,1,2,3
1747675427.0427926,,,,,1,2,3
1747675427.5429392,,,,,1,2,3
1747675428.0467696,,,,,1,2,3
1747675429.5687983,,,,,1,2,3
1747675430.070615,,,,,1,2,3
1747675430.5748134,0.24,35,21,93.336,,,
1747675431.0757797,,,,,1,2,3
1747675432.0868323,,,,,1,2,3
1747675432.5878448,0.24,35,21,93.336,,,
1747675433.0889497,0.24,35,21,93.336,,,
1747675433.5920098,,,,,1,2,3
1747675434.6130595,0.238,35,21,93.324,,,
1747675435.1059554,,,,,1,2,3
1747675435.609049,,,,,1,2,3
1747675436.1097715,,,,,1,2,3
1747675437.1239436,,,,,1,2,3
1747675438.6349516,,,,,1,2,3
1747675439.1399195,,,,,1,2,3
1747675440.1450315,,,,,1,2,3
1747675440.6509068,,,,,1,2,3
1747675441.657892,,,,,1,2,3
1747675442.1649249,,,,,1,2,3
1747675442.672977,,,,,1,2,3
1747675443.1751983,,,,,1,2,3
1747675443.6819193,,,,,1,2,3
1747675446.200021,,,,,1,2,3
1747675446.7029045,,,,,1,2,3
1747675448.2222452,0.238,35,21,93.325,,,
1747675448.714968,,,,,1,2,3
1747675449.2179925,,,,,1,2,3
1747675449.720241,,,,,1,2,3
1747675450.2240798,,,,,1,2,3
1747675450.7280393,,,,,1,2,3
1747675451.255061,0.244,35,21,93.326,,,
1747675453.7730207,,,,,1,2,3
1747675454.2761,,,,,1,2,3
1747675454.7821004,,,,,1,2,3
1747675455.2919612,,,,,1,2,3
1747675455.7950165,,,,,1,2,3
1747675457.3120422,0.238,35,21,93.323,,,
1747675457.839124,0.238,35,21,93.323,,,
1747675459.3310077,,,,,1,2,3
1747675459.838227,,,,,1,2,3
1747675460.848218,0.24,35,21,93.327,,,
1747675461.3468504,,,,,1,2,3
1747675461.852088,,,,,1,2,3
1747675462.3531475,,,,,1,2,3
1747675462.8612127,,,,,1,2,3
1747675463.364208,0.239,35,21,93.321,,,
1747675463.875121,0.239,35,21,93.321,,,
1747675464.3804402,0.239,35,21,93.321,,,
1747675464.8892407,,,,,1,2,3
1747675465.3942304,,,,,1,2,3
1747675465.8992164,,,,,1,2,3
1747675466.9122279,0.238,35,21,93.325,,,
1747675468.424284,,,,,1,2,3
1747675468.9240708,,,,,1,2,3
1747675469.4483602,0.239,35,21,93.321,,,
1747675469.943325,,,,,1,2,3
1747675470.459312,0.238,35,21,93.319,,,
1747675470.9510813,,,,,1,2,3
1747675471.455346,,,,,1,2,3
1747675471.9562755,,,,,1,2,3
1747675472.9641528,,,,,1,2,3
1747675473.982257,,,,,1,2,3
1747675474.9932778,,,,,1,2,3
1747675475.4963179,,,,,1,2,3
1747675476.001266,,,,,1,2,3
1747675476.5124342,,,,,1,2,3
1747675477.0213823,,,,,1,2,3
1747675478.543494,0.241,35,21,93.324,,,
1747675479.0460787,,,,,1,2,3
1747675479.5482543,,,,,1,2,3
1747675480.0481899,,,,,1,2,3
1747675480.5492363,,,,,1,2,3
1747675482.6054337,0.24,35,21,93.327,,,
1747675483.59757,0.24,35,21,93.327,,,
1747675484.0903833,,,,,1,2,3
1747675484.5932992,,,,,1,2,3
1747675486.110505,,,,,1,2,3
1747675487.1144657,,,,,1,2,3
1747675487.619359,,,,,1,2,3
1747675488.1292064,,,,,1,2,3
1747675488.637607,,,,,1,2,3
1747675490.1525388,,,,,1,2,3
1747675490.6615007,,,,,1,2,3
1747675491.1675375,,,,,1,2,3
1747675491.6755102,,,,,1,2,3
1747675493.186707,,,,,1,2,3
1747675493.694516,,,,,1,2,3
1747675494.2017932,,,,,1,2,3
1747675494.735576,0.237,35,21,93.329,,,
1747675495.2065716,,,,,1,2,3
1747675496.2177258,,,,,1,2,3
1747675496.7206485,,,,,1,2,3
1747675497.7374463,,,,,1,2,3
1747675499.2487156,,,,,1,2,3
1747675499.7508092,,,,,1,2,3
1747675500.2578995,,,,,1,2,3
1747675501.7705932,0.238,35,21,93.323,,,
1747675502.2766778,,,,,1,2,3
1747675502.7786455,,,,,1,2,3
1747675503.284732,,,,,1,2,3
1747675504.2914844,,,,,1,2,3
1747675506.3106809,,,,,1,2,3
1747675506.8206942,0.239,35,21,93.322,,,
1747675507.3187115,,,,,1,2,3
1747675507.8237484,,,,,1,2,3
1747675508.323754,,,,,1,2,3
1747675508.8257792,,,,,1,2,3
1747675509.3367329,0.238,35,21,93.32,,,
1747675509.8377018,,,,,1,2,3
1747675510.3618057,0.238,35,21,93.32,,,
1747675510.8579988,0.238,35,21,93.32,,,
1747675511.3557692,,,,,1,2,3
1747675513.3646464,,,,,1,2,3
1747675515.3768387,,,,,1,2,3
1747675515.884836,,,,,1,2,3
1747675517.9088585,0.242,35,21,93.327,,,
1747675518.9067926,,,,,1,2,3
1747675519.4138627,,,,,1,2,3
1747675519.915735,,,,,1,2,3
1747675520.4207633,,,,,1,2,3
1747675521.4318817,,,,,1,2,3
1747675521.9449246,0.241,35,21,93.323,,,
1747675522.4378006,,,,,1,2,3
1747675522.9459329,,,,,1,2,3
1747675523.9539342,,,,,1,2,3
1747675524.4619155,,,,,1,2,3
1747675524.9689114,,,,,1,2,3
1747675525.4829032,0.241,35,21,93.326,,,
1747675525.9850352,,,,,1,2,3
1747675526.4929569,,,,,1,2,3
1747675526.9970188,,,,,1,2,3
1747675527.5009558,,,,,1,2,3
1747675528.5138955,,,,,1,2,3
1747675530.0329206,,,,,1,2,3
1747675530.5330205,,,,,1,2,3
1747675531.543765,,,,,1,2,3
1747675532.54804,,,,,1,2,3
1747675533.555201,,,,,1,2,3
1747675534.0639796,,,,,1,2,3
1747675534.573958,,,,,1,2,3
1747675535.0801053,,,,,1,2,3
1747675535.5850458,,,,,1,2,3
1747675536.5990403,,,,,1,2,3
1747675537.0990038,,,,,1,2,3
1747675537.60704,,,,,1,2,3
