ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,"Bears Edible Fruit","Type of Edible Fruit",COUNT,LATITUDE,LONGITUDE,LOCATION,"Point Location"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,0,2021/09/22,Parks,FALSE,,1,53.54564690438622,-113.53576996025126,"(53.54564690438622, -113.53576996025126)","POINT (-113.53576996025126 53.54564690438622)"
458109,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,23,65,1990/01/01,Parks,FALSE,,1,53.54135017940344,-113.51379903066241,"(53.54135017940344, -113.51379903066241)","POINT (-113.51379903066241 53.54135017940344)"
456310,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,14,65,2012/06/01,Parks,FALSE,,1,53.54307762529059,-113.51967911911848,"(53.54307762529059, -113.51967911911848)","POINT (-113.51967911911848 53.54307762529059)"
471773,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,1990/01/01,Parks,FALSE,,1,53.54022961432542,-113.51404288752825,"(53.54022961432542, -113.51404288752825)","POINT (-113.51404288752825 53.54022961432542)"
458114,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,25,65,1990/01/01,Parks,FALSE,,1,53.54124383686034,-113.51379364306602,"(53.54124383686034, -113.51379364306602)","POINT (-113.51379364306602 53.54124383686034)"
432951,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,2009/06/01,Parks,FALSE,,1,53.53688612283645,-113.51387755656151,"(53.53688612283645, -113.51387755656151)","POINT (-113.51387755656151 53.53688612283645)"
432954,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,10,0,2009/06/01,Parks,FALSE,,1,53.53623578525679,-113.51387778799597,"(53.53623578525679, -113.51387778799597)","POINT (-113.51387778799597 53.53623578525679)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2021/09/22,Parks,FALSE,,1,53.545427767941405,-113.53578605281936,"(53.545427767941405, -113.53578605281936)","POINT (-113.53578605281936 53.545427767941405)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,35,2021/09/22,Parks,FALSE,,1,53.54595210139984,-113.53576727852231,"(53.54595210139984, -113.53576727852231)","POINT (-113.53576727852231 53.54595210139984)"
435577,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,7,65,2016/06/01,Parks,FALSE,,1,53.54272251060479,-113.51936810711143,"(53.54272251060479, -113.51936810711143)","POINT (-113.51936810711143 53.54272251060479)"
471769,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,26,65,1990/01/01,Parks,FALSE,,1,53.53630379907777,-113.51387525165133,"(53.53630379907777, -113.51387525165133)","POINT (-113.51387525165133 53.53630379907777)"
529694,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,16,65,2016/06/01,Parks,FALSE,,1,53.53648895001478,-113.51406394691722,"(53.53648895001478, -113.51406394691722)","POINT (-113.51406394691722 53.53648895001478)"
,WÎHKWÊNTÔWIN,Park,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,19,65,1990/01/01,Parks,FALSE,,1,53.549586375568154,-113.53088088344063,"(53.549586375568154, -113.53088088344063)","POINT (-113.53088088344063 53.549586375568154)"
458111,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,1990/01/01,Parks,FALSE,,1,53.5412999451273,-113.51379907976147,"(53.5412999451273, -113.51379907976147)","POINT (-113.51379907976147 53.5412999451273)"
432952,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,21,65,2009/06/01,Parks,FALSE,,1,53.53667708749664,-113.51387689639122,"(53.53667708749664, -113.51387689639122)","POINT (-113.51387689639122 53.53667708749664)"
458108,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,13,65,2012/06/01,Parks,FALSE,,1,53.5419807889153,-113.51403965449009,"(53.5419807889153, -113.51403965449009)","POINT (-113.51403965449009 53.5419807889153)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,5,65,2021/09/17,Parks,FALSE,,1,53.54119251568539,-113.51379489791341,"(53.54119251568539, -113.51379489791341)","POINT (-113.51379489791341 53.54119251568539)"
529671,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,10,0,2016/06/01,Parks,FALSE,,1,53.54189836797067,-113.51954895295879,"(53.54189836797067, -113.51954895295879)","POINT (-113.51954895295879 53.54189836797067)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,51,65,1990/01/01,Parks,FALSE,,1,53.53998611884709,-113.52298453092799,"(53.53998611884709, -113.52298453092799)","POINT (-113.52298453092799 53.53998611884709)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2022/07/12,Parks,FALSE,,1,53.54585362343,-113.53576923720696,"(53.54585362343, -113.53576923720696)","POINT (-113.53576923720696 53.54585362343)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/06/28,Parks,FALSE,,1,53.542869464503866,-113.528752996184,"(53.542869464503866, -113.528752996184)","POINT (-113.528752996184 53.542869464503866)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/08/28,Parks,FALSE,,1,53.54132385104573,-113.53256520635334,"(53.54132385104573, -113.53256520635334)","POINT (-113.53256520635334 53.54132385104573)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/08/28,Parks,FALSE,,1,53.54146490966655,-113.5335428713744,"(53.54146490966655, -113.5335428713744)","POINT (-113.5335428713744 53.54146490966655)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/06/22,Parks,FALSE,,1,53.54190394458333,-113.51955049346485,"(53.54190394458333, -113.51955049346485)","POINT (-113.51955049346485 53.54190394458333)"
,WÎHKWÊNTÔWIN,"Centre Median","Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/08/28,Parks,FALSE,,1,53.54349307093108,-113.53588980314473,"(53.54349307093108, -113.53588980314473)","POINT (-113.53588980314473 53.54349307093108)"
,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2023/08/25,Parks,FALSE,,1,53.5456486525696,-113.53576937081877,"(53.5456486525696, -113.53576937081877)","POINT (-113.53576937081877 53.5456486525696)"
